username, created_at, lng, lat, text
GingerTee1, Tue Jan 19 22:48:42 +0000 2021, -87.818785, 41.868485, @Ualreadylate I read the article but I'm a skeptic about this 
XXXChristianM, Tue Jan 19 22:48:45 +0000 2021, -87.732013, 41.833585, Great minds think alike gorgeous boy 
_kennedy60, Tue Jan 19 22:48:46 +0000 2021, -87.732013, 41.833585, Xi Jinping explaining how genociding Uighurs results in the fulfillment of the Chinese Dream and Socialism With Chi… https://t.co/C02YOnyIvf 
AnnaVanwingen, Tue Jan 19 22:48:51 +0000 2021, -86.270540, 45.001180, My TGTATBO'S album signed by Corbyn just came in today!! @whydontwemusic @corbynbesson @SeaveyDaniel @ImZachHerron… https://t.co/uvUeLcP39y 
irootsorg, Tue Jan 19 22:48:52 +0000 2021, -86.441236, 39.766555, @TheBelaaz Hoping....praying! 
KoleHart12, Tue Jan 19 22:48:52 +0000 2021, -86.270540, 45.001180, I would like to take this moment to announce my presidential campaign in 2032. Idk what I’m doing, but neither have… https://t.co/DUDWuKGxgJ 
KayDaProducer, Tue Jan 19 22:48:54 +0000 2021, -89.266508, 39.739300, @GoldxHaze check yo dm bro 
leggomyaggo98, Tue Jan 19 22:48:54 +0000 2021, -87.759533, 41.708954, Chains 
ludy_05, Tue Jan 19 22:48:55 +0000 2021, -86.270540, 45.001180, @WOSpanish @cclebster Me too &amp; cooking dinner at same time https://t.co/DI9cW8pYyX 
MDurpettiEvents, Tue Jan 19 22:48:55 +0000 2021, -87.732013, 41.833585, What’s for dinner? 🤩🥂🔥🥩 @Gene_Georgetti 👈🏼 https://t.co/Hkq88Aog6Q 
aaron_klopfer, Tue Jan 19 22:48:57 +0000 2021, -87.732013, 41.833585, @KirkmanBrandon Perfect 
psorensen, Tue Jan 19 22:48:59 +0000 2021, -87.732013, 41.833585, @EricAllixRogers It won’t be complete anyway. There are bound to be secret pardons that won’t be revealed until som… https://t.co/cdBze4ZVBc 
WTFisCLB, Tue Jan 19 22:49:04 +0000 2021, -88.310447, 42.039940, Biden and Harris shaking up like https://t.co/KGKOX0OWin https://t.co/Vc6kzxYNyB 
TokyoBoiler, Tue Jan 19 22:49:09 +0000 2021, -87.985476, 42.095656, @ProjectLincoln #AliceMustGo 
Fredro_Longway, Tue Jan 19 22:49:11 +0000 2021, -86.441236, 39.766555, Toyota gave us MLK off , came in early today they gave us some lube and fucked us 
Celia94608757, Tue Jan 19 22:49:17 +0000 2021, -87.732013, 41.833585, @katiecouric Why don’t you start healing the nation instead talking about reprogramming Trump supporters it does not help 
GingerTee1, Tue Jan 19 22:49:17 +0000 2021, -87.818785, 41.868485, @mountain_lib Wow 
friday_west, Tue Jan 19 22:49:20 +0000 2021, -87.732013, 41.833585, Full vid uploaded to my free OnlyFans 
BostonMarketJob, Tue Jan 19 22:49:26 +0000 2021, -88.141967, 41.859157, Looking for a new career? Join our team at Boston Market! Apply today and start cooking up QUALITY food you can be… https://t.co/RchzyeXEGO 
tmac36daexpert, Tue Jan 19 22:49:30 +0000 2021, -87.732013, 41.833585, @FutureNBA0wner Injuries and Melo not coming closed the Bulls 🏆 window. Just like i said yesterday the Bucks impati… https://t.co/w9D7xbAIkD 
TatsOG55, Tue Jan 19 22:49:34 +0000 2021, -87.732013, 41.833585, Yeah!!! 
bjthomas44, Tue Jan 19 22:49:35 +0000 2021, -86.441236, 39.766555, 100% 
JoeOjflow, Tue Jan 19 22:49:35 +0000 2021, -87.732013, 41.833585, @senatemajldr Pass the John Lewis Voting Rights Advancement Act, you vandal.#Insurrectionist 
WhyUaLwayzLien, Tue Jan 19 22:49:37 +0000 2021, -87.732013, 41.833585, Lol this the best one 
Frank_The_K, Tue Jan 19 22:49:38 +0000 2021, -87.732013, 41.833585, @Larry_Boa @SoxofWhite Wade 
lanezphoto, Tue Jan 19 22:49:40 +0000 2021, -87.732013, 41.833585, @megreyes_ @mjdesmo @erinnicoleh_ @tysonhutchins_ @Mac_Smith52 @_TheRealJayWill @adey_nash Ahh can’t wait! ❤️🏀📸 
stephagnw, Tue Jan 19 22:49:43 +0000 2021, -87.732013, 41.833585, “Neither settlement was individually approved or debated by the City Council because of the relatively small amount… https://t.co/X64QNxGxmz 
TaylorDeuce, Tue Jan 19 22:49:43 +0000 2021, -87.759533, 41.708954, I am literally one person that NEVER has baby fever 💀 
OGsPerspective, Tue Jan 19 22:49:46 +0000 2021, -87.732013, 41.833585, People on the internet swear “I couldn’t care less” while doing this: https://t.co/W5w1mUNOIi 
hopeislovely, Tue Jan 19 22:49:46 +0000 2021, -87.732013, 41.833585, Fact 💯 
tmj_IL_skltrd, Tue Jan 19 22:49:46 +0000 2021, -89.275227, 40.642572, This job might be a great fit for you: MIG Welder - https://t.co/jXcU1BiJj7 #Goodfield, IL 
EdChiSox, Tue Jan 19 22:49:49 +0000 2021, -87.732013, 41.833585, @hehateme__ @ChiSoxFanMike 5 and major are a bit of a stretch. But yes, they should be more actively filling out the roster. 
EvanstonFD, Tue Jan 19 22:49:53 +0000 2021, -87.699196, 42.045437, The war on COVID-19 begins and ends with Logistics. Thank you to the logistics staff at the City of Evanston for be… https://t.co/7yMXTmN6Pd 
